object_id,label,layer,language names,spellings,alternate names,notes,sources,type,Language areas,Sub-regions,Jamoats,text
47,Мун,Shughni,"{'Shughni': '?', 'Russian': 'Мун (Mun)'}",,,['belongs to the Навабад jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Мун (Mun)
coordinates: [37.6561254, 71.8092041]
altitude: 2569 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
48,Зуворак ,Shughni,"{'Shughni': '?', 'Russian': 'Зуворак (Zuvorak)'}",['Зиворак (Zivorak)'],,['belongs to the Навабад jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Зуворак (Zuvorak)
alternate spellings: Зиворак (Zivorak)
coordinates: [37.6634807, 71.8154958]
altitude: 2598 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
49,Ғорҷwӣн (?),Shughni,"{'Shughni': 'Ғорҷwӣн (Ɣorǰwīn)', 'Russian': 'Горджвин (Gordzhvin)'}","['Гурджвин (Gurdzhvin)', 'Горчвин (Gorchvin)', 'Гарджевин (Gardzhevin)']",,"['belongs to the Навабад jamoat', 'exact location is unclear']","['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: Ғорҷwӣн (Ɣorǰwīn)
Russian: Горджвин (Gordzhvin)
alternate spellings: Гурджвин (Gurdzhvin), Горчвин (Gorchvin), Гарджевин (Gardzhevin)
coordinates: [37.6831595, 71.8492701]
altitude: 2622 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat; exact location is unclear

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
50,Вибист,Shughni,"{'Shughni': '?', 'Russian': 'Вибист (Vibist)'}",,,['belongs to the Навабад jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Вибист (Vibist)
coordinates: [37.6938741, 71.8703156]
altitude: 2621 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
51,Бугод,Shughni,"{'Shughni': '?', 'Russian': 'Бугод (Bugod)'}",,,['belongs to the Навабад jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Бугод (Bugod)
coordinates: [37.6997496, 71.8854527]
altitude: 2611 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Навабад jamoat

sources: [Каландаров 2004: 11; J-42]"
52,Навабад / Дехбаста (?),Shughni,"{'Shughni': '?', 'Russian': 'Дехбаста (Dekhbasta)'}","['Дебаста (Debasta)', 'Навобод (Navobod)']",['Навабад (Navabad)'],"['s unclear', 'apparently, this village is currently called Навабад after the jamoat: Zarubin’s [1930] map does not have the name Навабад but has Дебаста, while modern online maps only have Навабад']","['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,"Навабад ҷамоат
","Shughni: ?
Russian: Дехбаста (Dekhbasta)
alternate spellings: Дебаста (Debasta), Навобод (Navobod)
alternate names: Навабад (Navabad)
coordinates: [37.6751607, 71.8347147]
altitude: 2572 m

idiom: proper Shughni language
regions: Ғунд

notes: s unclear; apparently, this village is currently called Навабад after the jamoat: Zarubin’s [1930] map does not have the name Навабад but has Дебаста, while modern online maps only have Навабад

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
53,Дехмиёна,Shughni,"{'Shughni': '?', 'Russian': 'Дехмиёна (Dekhmiyona)'}","['Демиюна (Demiyuna)', 'Демиёна (Demiyona)']",,['belongs to the Вер jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Дехмиёна (Dekhmiyona)
alternate spellings: Демиюна (Demiyuna), Демиёна (Demiyona)
coordinates: [37.6967662, 71.9198847]
altitude: 2658 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
54,Вуж,Shughni,"{'Shughni': '?', 'Russian': 'Вуж (Vuzh)'}",['Вож (Vozh)'],,['belongs to the Вер jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Вуж (Vuzh)
alternate spellings: Вож (Vozh)
coordinates: [37.7176024, 71.9584864]
altitude: 2701 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
55,Рожак,Shughni,"{'Shughni': '?', 'Russian': 'Рожак (Rozhak)'}",,,"['belongs to the Вер jamoat', 'this settlement is called Зувор on J-42 and some other maps (e.g. Yandex), probably incorrectly']",['Каландаров 2004: 11'],point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Рожак (Rozhak)
coordinates: [37.7235642, 71.9786884]
altitude: 2728 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat; this settlement is called Зувор on J-42 and some other maps (e.g. Yandex), probably incorrectly

sources: [Каландаров 2004: 11]"
56,Хитам,Shughni,"{'Shughni': '?', 'Russian': 'Хитам (Khitam)'}",['Шитам (Shitam)'],,['belongs to the Вер jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Хитам (Khitam)
alternate spellings: Шитам (Shitam)
coordinates: [37.7396016, 72.0247991]
altitude: 2815 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
57,Зувор,Shughni,"{'Shughni': '?', 'Russian': 'Зувор (Zuvor)'}","['Зивор (Zivor)', 'Зуор (Zuor)']",,['belongs to the Вер jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Зувор (Zuvor)
alternate spellings: Зивор (Zivor), Зуор (Zuor)
coordinates: [37.7353034, 72.0416913]
altitude: 2995 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
58,Вер,Shughni,"{'Shughni': '?', 'Russian': 'Вер (Ver)'}",['Вир (Vir)'],,['belongs to the Вер jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Вер (Ver)
alternate spellings: Вир (Vir)
coordinates: [37.7335678, 72.0680176]
altitude: 2890 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
59,Нимац (?),Shughni,"{'Shughni': '?', 'Russian': 'Нимац (Nimats)'}",,,"['apparently belongs to the Вер jamoat', 'this settlement only appears in J-42']",['J-42'],point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Нимац (Nimats)
coordinates: [37.7204752, 72.0377416]
altitude: 2834 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Вер jamoat; this settlement only appears in J-42

sources: [J-42]"
60,Тангив (?),Shughni,"{'Shughni': '?', 'Russian': 'Тангив (Tangiv)'}",['Тангиф (Tangif)'],,"['apparently belongs to the Вер jamoat', 'this settlement only appears in J-42']",['J-42'],point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Тангив (Tangiv)
alternate spellings: Тангиф (Tangif)
coordinates: [37.7409335, 72.0909057]
altitude: 2906 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Вер jamoat; this settlement only appears in J-42

sources: [J-42]"
61,Паринишиён (?),Shughni,"{'Shughni': '?', 'Russian': 'Паринишиён (Parinishiyon)'}",,,"['apparently belongs to the Вер jamoat', 'this settlement only appears in J-42']",['J-42'],point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Паринишиён (Parinishiyon)
coordinates: [37.7462208, 72.149951]
altitude: 2925 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Вер jamoat; this settlement only appears in J-42

sources: [J-42]"
62,Гоз,Shughni,"{'Shughni': '?', 'Russian': 'Гоз (Goz)'}",,,"['belongs to the Вер jamoat', 'this settlement is called Паринишиён in J-42 (together with the settlement to the east)']",['Каландаров 2004: 11'],point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: ?
Russian: Гоз (Goz)
coordinates: [37.7431408, 72.1246001]
altitude: 2931 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat; this settlement is called Паринишиён in J-42 (together with the settlement to the east)

sources: [Каландаров 2004: 11]"
63,Чарθем,Shughni,"{'Shughni': 'Чарθем (Čarθem)', 'Russian': 'Чартем (Chartem)'}",['Чартым (Chartym)'],,['belongs to the Вер jamoat'],"['Зарубин 1930: 109', 'Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Вер ҷамоат,"Shughni: Чарθем (Čarθem)
Russian: Чартем (Chartem)
alternate spellings: Чартым (Chartym)
coordinates: [37.7160577, 72.1641954]
altitude: 2958 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Вер jamoat

sources: [Зарубин 1930: 109; Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
64,Окмамад,Shughni,"{'Shughni': '?', 'Russian': 'Окмамад (Okmamad)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Окмамад (Okmamad)
coordinates: [37.6963318, 72.1889896]
altitude: 3003 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
65,Патхур,Shughni,"{'Shughni': '?', 'Russian': 'Патхур (Patkhur)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Патхур (Patkhur)
coordinates: [37.7082738, 72.2098433]
altitude: 3026 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
66,Миёнхар,Shughni,"{'Shughni': '?', 'Russian': 'Миёнхар (Miyonkhar)'}","['Миёнашахр (Miyonashakhr)', 'Миюншар (Miyunshar)']",,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Миёнхар (Miyonkhar)
alternate spellings: Миёнашахр (Miyonashakhr), Миюншар (Miyunshar)
coordinates: [37.7245829, 72.2469875]
altitude: 3041 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
67,Ванкала,Shughni,"{'Shughni': '?', 'Russian': 'Ванкала (Vankala)', 'Tajiki': 'Ванқалъа (Vanqal’a)'}",,,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Ванкала (Vankala)
Tajiki: Ванқалъа (Vanqal’a)
coordinates: [37.7192586, 72.2782757]
altitude: 3057 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
68,Хадзуд,Shughni,"{'Shughni': '?', 'Russian': 'Хадзуд (Khadzud)'}","['Хазуд (Khazud)', 'Шадзуд (Shadzud)']",,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Хадзуд (Khadzud)
alternate spellings: Хазуд (Khazud), Шадзуд (Shadzud)
coordinates: [37.7103138, 72.3626861]
altitude: 3158 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
69,Сардем,Shughni,"{'Shughni': '?', 'Russian': 'Сардем (Sardem)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Сардем (Sardem)
coordinates: [37.7131362, 72.3420627]
altitude: 3119 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
70,Разак,Shughni,"{'Shughni': '?', 'Russian': 'Разак (Razak)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Разак (Razak)
coordinates: [37.7169492, 72.3047597]
altitude: 3107 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
71,Пиш,Shughni,"{'Shughni': '?', 'Russian': 'Пиш (Pish)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Пиш (Pish)
coordinates: [37.7077952, 72.3066318]
altitude: 3084 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
72,Абуали Сино,Shughni,"{'Shughni': '?', 'Russian': 'Абуали Сино (Abuali Sino)'}",,,"['apparently belongs to the Ванкала jamoat', 'this settlement only appears in J-42 and some modern maps (e.g. Yandex and OpenStreetMap)']",['J-42'],point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Абуали Сино (Abuali Sino)
coordinates: [37.6991845, 72.3349828]
altitude: 3122 m

idiom: proper Shughni language
regions: Ғунд

notes: apparently belongs to the Ванкала jamoat; this settlement only appears in J-42 and some modern maps (e.g. Yandex and OpenStreetMap)

sources: [J-42]"
73,Вархедз,Shughni,"{'Shughni': '?', 'Russian': 'Вархедз (Varkhedz)'}","['Вархез (Varkhez)', 'Варшез (Varshez)']",,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Вархедз (Varkhedz)
alternate spellings: Вархез (Varkhez), Варшез (Varshez)
coordinates: [37.7025206, 72.3461086]
altitude: 3146 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
74,Миёнакух,Shughni,"{'Shughni': '?', 'Russian': 'Миёнакух (Miyonakukh)', 'Tajiki': 'Миёнаку̊ҳ (Miyonakůh)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Миёнакух (Miyonakukh)
Tajiki: Миёнаку̊ҳ (Miyonakůh)
coordinates: [37.7016531, 72.3701502]
altitude: 3148 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
75,Бадчор,Shughni,"{'Shughni': '?', 'Russian': 'Бадчор (Badchor)'}","['Баччор (Bachchor)', 'Бадшор (Badshor)', 'Бадшорв (Badshorv)']",,"['belongs to the Ванкала jamoat', 'in this settlement (and, possibly, some nearby settlements), there are many resettlers from the Roshorv valley, who moved here when their villages were flooded as a result of the emergence of the Sarez lake in 1911 [Каландаров 2004: 11]']","['Каландаров 2004: 11', 'J-42']",point,—,—,Ванкала ҷамоат,"Shughni: ?
Russian: Бадчор (Badchor)
alternate spellings: Баччор (Bachchor), Бадшор (Badshor), Бадшорв (Badshorv)
coordinates: [37.7396294, 72.5397705]
altitude: 3325 m

notes: belongs to the Ванкала jamoat; in this settlement (and, possibly, some nearby settlements), there are many resettlers from the Roshorv valley, who moved here when their villages were flooded as a result of the emergence of the Sarez lake in 1911 [Каландаров 2004: 11]

sources: [Каландаров 2004: 11; J-42]"
76,Дузахдара,Shughni,"{'Shughni': '?', 'Russian': 'Дузахдара (Duzakhdara)'}",,['Рохинав (Rohinav)'],['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Дузахдара (Duzakhdara)
alternate names: Рохинав (Rohinav)
coordinates: [37.7004008, 72.3996998]
altitude: 3203 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
77,Морҷ,Shughni,"{'Shughni': 'Морҷ (Morǰ)', 'Russian': 'Мордж (Mordz)'}","['Морч (Morch)', 'Мардж (Mardzh)']",,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: Морҷ (Morǰ)
Russian: Мордж (Mordz)
alternate spellings: Морч (Morch), Мардж (Mardzh)
coordinates: [37.6976527, 72.4514932]
altitude: 3312 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
78,Куйгантукуй,Shughni,"{'Shughni': '?', 'Russian': 'Куйгантукуй (Kuygantukuy)'}",['Кургон-Тукай (Kurgon-Tukay)'],,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Куйгантукуй (Kuygantukuy)
alternate spellings: Кургон-Тукай (Kurgon-Tukay)
coordinates: [37.6868413, 72.4819778]
altitude: 3341 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
79,Октайлок,Shughni,"{'Shughni': '?', 'Russian': 'Октайлок (Oktaylok)'}",,,['belongs to the Ванкала jamoat'],"['Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Октайлок (Oktaylok)
coordinates: [37.6639807, 72.5098718]
altitude: 3408 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Каландаров 2004: 11; J-42]"
80,Джелондех,Shughni,"{'Shughni': '?', 'Russian': 'Джелондех (Dzhelondekh)'}","['Джелонди (Dzhelondi)', 'Джелюнди (Dzhelyundi)']",,['belongs to the Ванкала jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42']",point,proper Shughni language,Ғунд,Ванкала ҷамоат,"Shughni: ?
Russian: Джелондех (Dzhelondekh)
alternate spellings: Джелонди (Dzhelondi), Джелюнди (Dzhelyundi)
coordinates: [37.5746419, 72.5909803]
altitude: 3551 m

idiom: proper Shughni language
regions: Ғунд

notes: belongs to the Ванкала jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42]"
81,Хабост,Shughni,"{'Shughni': 'Хабост (Xabost)', 'Russian': 'Хабост (Khabost)'}",,,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013', 'Булбулшоев 2005b: 23']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: Хабост (Xabost)
Russian: Хабост (Khabost)
coordinates: [37.4603576, 71.6026116]
altitude: 2280 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013; Булбулшоев 2005b: 23]"
82,Курцбоген,Shughni,"{'Shughni': '?', 'Russian': 'Курцбоген (Kurtsbogen)'}","['Куртсбоген (Kurtsbogen)', 'Хурсбогин (Khursbogin)', 'Kurtsboghen']",,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Курцбоген (Kurtsbogen)
alternate spellings: Куртсбоген (Kurtsbogen), Хурсбогин (Khursbogin), Kurtsboghen
coordinates: [37.4550471, 71.6076273]
altitude: 2142 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013]"
83,Кулев (?),Shughni,"{'Shughni': '?', 'Russian': 'Кулев (Kulev)'}",,,"['belongs to the Тавдем jamoat', 'exact location is unclear']","['J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Кулев (Kulev)
coordinates: [37.4461352, 71.6073567]
altitude: 2171 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat; exact location is unclear

sources: [J-42; The Pamirs’ Map 2013]"
84,Х̌ичӣх̌ ,Shughni,"{'Shughni': 'Х̌ичӣх̌ (X̌ičīx̌)', 'Russian': 'Хичих (Khichikh)'}",,,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013', 'Булбулшоев 2005a']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: Х̌ичӣх̌ (X̌ičīx̌)
Russian: Хичих (Khichikh)
coordinates: [37.4395084, 71.6023407]
altitude: 2447 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013; Булбулшоев 2005a]"
85,Шод,Shughni,"{'Shughni': '?', 'Russian': 'Шод (Shod)'}",,,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Шод (Shod)
coordinates: [37.4345639, 71.6096087]
altitude: 2187 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013]"
86,Х̌ӯвҷев,Shughni,"{'Shughni': 'Х̌ӯвҷев (X̌ūvǰev)', 'Russian': 'Шувджев (Shuvdzhev)'}","['Шувчев (Shuvchev),\xa0Х̌ӯвҷеф (X̌ūvǰef)']",,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013', 'Булбулшоев 2005b: 23']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: Х̌ӯвҷев (X̌ūvǰev)
Russian: Шувджев (Shuvdzhev)
alternate spellings: Шувчев (Shuvchev), Х̌ӯвҷеф (X̌ūvǰef)
coordinates: [37.4230786, 71.6036927]
altitude: 2604 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013; Булбулшоев 2005b: 23]"
87,Сиёб,Shughni,"{'Shughni': '?', 'Russian': 'Сиёб (Siyob)'}",['Сиёв (Siyov)'],,['belongs to the Тавдем jamoat'],"['J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Сиёб (Siyob)
alternate spellings: Сиёв (Siyov)
coordinates: [37.4294882, 71.612928]
altitude: 2198 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [J-42; The Pamirs’ Map 2013]"
88,Шикуш,Shughni,"{'Shughni': '?', 'Russian': 'Шикуш (Shikush)'}",,,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Шикуш (Shikush)
coordinates: [37.4186767, 71.6196205]
altitude: 2226 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013]"
89,Сумджев,Shughni,"{'Shughni': '?', 'Russian': 'Сумджев (Sumdzhev)'}","['Сунджев (Sundzhev)', 'Sumjev', 'Sunjev']",,['belongs to the Тавдем jamoat'],"['Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Сумджев (Sumdzhev)
alternate spellings: Сунджев (Sundzhev), Sumjev, Sunjev
coordinates: [37.4056108, 71.6201417]
altitude: 2558 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Каландаров 2004: 11; J-42; The Pamirs’ Map 2013]"
90,Риҷӣст ,Shughni,"{'Shughni': 'Риҷӣст (Riǰīst)', 'Russian': 'Риджист (Ridzhist)'}","['Реджист (Redzhist)', 'Rijist', 'Rejist']",,['belongs to the Тавдем jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 11', 'J-42', 'The Pamirs’ Map 2013', 'Булбулшоев 2005a']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: Риҷӣст (Riǰīst)
Russian: Риджист (Ridzhist)
alternate spellings: Реджист (Redzhist), Rijist, Rejist
coordinates: [37.405778, 71.6336995]
altitude: 2300 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 11; J-42; The Pamirs’ Map 2013; Булбулшоев 2005a]"
91,Андарв (?),Shughni,"{'Shughni': '?', 'Russian': 'Андарв (Andarv)'}",,,"['belongs to the Тавдем jamoat', 'the exact location is unclear']","['Каландаров 2004: 11', 'The Pamirs’ Map 2013']",point,Shokhdara variety,Хох̌дарā,Тавдем ҷамоат,"Shughni: ?
Russian: Андарв (Andarv)
coordinates: [37.4102931, 71.6248434]
altitude: 2258 m

idiom: Shokhdara variety
regions: Хох̌дарā

notes: belongs to the Тавдем jamoat; the exact location is unclear

sources: [Каландаров 2004: 11; The Pamirs’ Map 2013]"
